config_id,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,max_samples,n_random_thresholds,min_impurity_decrease,train_time_seconds_mean,train_time_seconds_sum,train_MAE_mean,train_MAE_std,train_RMSE_mean,train_RMSE_std,train_R2_mean,train_R2_std,val_MAE_mean,val_MAE_std,val_RMSE_mean,val_RMSE_std,val_R2_mean,val_R2_std,mae_gap_val_train_mean,mae_gap_val_train_std,r2_gap_train_val_mean,r2_gap_train_val_std,selection_score
41,80,12,4,2,0.6,False,1.0,1,0.0,12.141889333724976,12.141889333724976,0.6150262540759387,0.0,1.2905972461857425,0.0,0.978573141978989,0.0,0.7572082190408371,0.0,1.4388033137945822,0.0,0.9709539863950036,0.0,0.14218196496489843,0.0,0.007619155583985404,0.0,0.7604328161193343
35,80,10,4,4,0.8,False,1.0,1,0.0,8.313496828079224,8.313496828079224,0.7461956701718263,0.0,1.5999150289041573,0.0,0.9670715824889476,0.0,0.7731007179051869,0.0,1.5021087148002141,0.0,0.9683417860921494,0.0,0.026905047733360554,0.0,-0.001270203603201736,0.0,0.7736388188598541
45,80,12,4,4,0.6,False,1.0,1,0.0,10.15401840209961,10.15401840209961,0.7590046536738969,0.0,1.6072862252745717,0.0,0.9667674651247078,0.0,0.8135093699660588,0.0,1.5341222299431516,0.0,0.9669779824593383,0.0,0.054504716292161914,0.0,-0.00021051733463051114,0.0,0.8145994642919021
25,80,10,4,1,0.6,False,1.0,1,0.0,8.394881010055542,8.394881010055542,0.7657825053936113,0.0,1.3830068647277811,0.0,0.9753948682249389,0.0,0.8458828637292749,0.0,1.4571537090057702,0.0,0.9702083601053643,0.0,0.08010035833566365,0.0,0.005186508119574662,0.0,0.847744196301967
29,80,10,4,2,0.6,False,1.0,1,0.0,7.708252906799316,7.708252906799316,0.7937041458920575,0.0,1.5052142524909051,0.0,0.970854355222631,0.0,0.8526705130956902,0.0,1.493437438196858,0.0,0.9687062401019679,0.0,0.058966367203632686,0.0,0.002148115120663041,0.0,0.853957246195796
22,80,8,4,4,0.6,False,1.0,2,0.0,5.26724100112915,5.26724100112915,0.8442935284630884,0.0,1.6886109212001161,0.0,0.9633194185596694,0.0,0.8538644068447249,0.0,1.5595560744695471,0.0,0.9658739779646931,0.0,0.009570878381636505,0.0,-0.002554559405023693,0.0,0.8540558244123576
14,80,8,4,1,0.6,False,1.0,2,0.0,6.699621677398682,6.699621677398682,0.8338376383750162,0.0,1.5322329397413739,0.0,0.9697986321716784,0.0,0.8574690824614416,0.0,1.4977746664442289,0.0,0.9685242100199181,0.0,0.02363144408642537,0.0,0.0012744221517603238,0.0,0.8580054324507581
18,80,8,4,2,0.6,False,1.0,2,0.0,5.803835391998291,5.803835391998291,0.8317208842102127,0.0,1.5814360335872026,0.0,0.9678278352535695,0.0,0.8601178285958321,0.0,1.5295205568230574,0.0,0.9671757875977821,0.0,0.02839694438561935,0.0,0.0006520476557874133,0.0,0.8607183698663338
15,80,8,4,1,0.8,False,1.0,1,0.0,5.183069467544556,5.183069467544556,0.8803489087097214,0.0,1.5997192508871434,0.0,0.9670796407492122,0.0,0.891457648847755,0.0,1.5196713055030544,0.0,0.967597165395525,0.0,0.011108740138033646,0.0,-0.000517524646312828,0.0,0.8916798236505157
4,80,6,4,1,0.8,False,1.0,2,0.0,3.164644718170166,3.164644718170166,0.9496609416067727,0.0,1.793637053007462,0.0,0.9586146952354023,0.0,0.9066046949555098,0.0,1.5967011559365185,0.0,0.9642290102326088,0.0,-0.04305624665126295,0.0,-0.005614314997206438,0.0,0.9066046949555098
33,80,10,4,4,0.6,False,1.0,1,0.0,6.295698881149292,6.295698881149292,0.8981165527935273,0.0,1.716585565602027,0.0,0.9620940019147758,0.0,0.9223358953487684,0.0,1.6054230018357534,0.0,0.9638371508464427,0.0,0.024219342555241052,0.0,-0.001743148931666938,0.0,0.9228202821998732
8,80,6,4,2,0.8,False,1.0,2,0.0,2.8572604656219482,2.8572604656219482,0.9555428474465504,0.0,1.8153879711903804,0.0,0.9576048739705292,0.0,0.9237348824268424,0.0,1.6330099515292718,0.0,0.9625836568141886,0.0,-0.03180796501970795,0.0,-0.0049787828436593795,0.0,0.9237348824268424
19,80,8,4,2,0.8,False,1.0,1,0.0,4.83249568939209,4.83249568939209,0.9172822066118242,0.0,1.6645990094599241,0.0,0.964355191368565,0.0,0.942844763226301,0.0,1.5917019519213549,0.0,0.9644526544955679,0.0,0.025562556614476706,0.0,-9.746312700298354e-05,0.0,0.9433560143585905
23,80,8,4,4,0.8,False,1.0,1,0.0,4.471105098724365,4.471105098724365,0.946869780660881,0.0,1.791805877982623,0.0,0.9586991549665039,0.0,0.9464091007863619,0.0,1.6444226205028156,0.0,0.9620588437180506,0.0,-0.00046067987451914316,0.0,-0.0033596887515466856,0.0,0.9464091007863619
12,80,6,4,4,0.8,False,1.0,2,0.0,2.742263078689575,2.742263078689575,0.997765861703572,0.0,1.8895968907342082,0.0,0.9540680001210341,0.0,0.95514091714672,0.0,1.6793623646525337,0.0,0.9604294114227856,0.0,-0.04262494455685195,0.0,-0.006361411301751496,0.0,0.95514091714672
17,80,8,4,2,0.6,False,1.0,1,0.0,3.743515968322754,3.743515968322754,1.0850786399578998,0.0,1.8412835609378053,0.0,0.9563867575979936,0.0,1.0819417511131713,0.0,1.7193352430581708,0.0,0.9585232414413186,0.0,-0.0031368888447285137,0.0,-0.0021364838433249878,0.0,1.0819417511131713
13,80,8,4,1,0.6,False,1.0,1,0.0,4.104736089706421,4.104736089706421,1.1083894240149883,0.0,1.815311689412572,0.0,0.9576084367435455,0.0,1.110865924152244,0.0,1.7211957076806796,0.0,0.9584334302281486,0.0,0.002476500137255755,0.0,-0.000824993484603187,0.0,1.1109154541549893
2,80,6,4,1,0.6,False,1.0,2,0.0,2.686635732650757,2.686635732650757,1.1814537029179706,0.0,1.9704564159914153,0.0,0.9500528525375892,0.0,1.1280267036067342,0.0,1.7921912063109973,0.0,0.9549336524376784,0.0,-0.0534269993112364,0.0,-0.004880799900089161,0.0,1.1280267036067342
6,80,6,4,2,0.6,False,1.0,2,0.0,2.327575445175171,2.327575445175171,1.198666117686166,0.0,2.0192488653562792,0.0,0.9475486441869262,0.0,1.14493759511134,0.0,1.8331392633201182,0.0,0.9528507708637117,0.0,-0.053728522574825854,0.0,-0.005302126676785535,0.0,1.14493759511134
21,80,8,4,4,0.6,False,1.0,1,0.0,3.496331214904785,3.496331214904785,1.1661943459898902,0.0,1.9782733016616314,0.0,0.9496557815172014,0.0,1.1454534707477562,0.0,1.828729966215522,0.0,0.9530773165889798,0.0,-0.020740875242134083,0.0,-0.0034215350717783366,0.0,1.1454534707477562
10,80,6,4,4,0.6,False,1.0,2,0.0,2.133390426635742,2.133390426635742,1.2294859379339074,0.0,2.0778771979629664,0.0,0.9444586056652946,0.0,1.17636763796589,0.0,1.8859775806980452,0.0,0.9500935441364691,0.0,-0.05311829996801731,0.0,-0.0056349384711744666,0.0,1.17636763796589
3,80,6,4,1,0.8,False,1.0,1,0.0,2.0311758518218994,2.0311758518218994,1.2734894980621931,0.0,2.0787292783184075,0.0,0.9444130443255158,0.0,1.215813969146083,0.0,1.8578780771473569,0.0,0.9515695953328747,0.0,-0.057675528916110164,0.0,-0.007156551007358902,0.0,1.215813969146083
7,80,6,4,2,0.8,False,1.0,1,0.0,1.8345608711242676,1.8345608711242676,1.2875695618633536,0.0,2.099668549891816,0.0,0.943287536859173,0.0,1.2262379012876028,0.0,1.883160794103331,0.0,0.9502425075805219,0.0,-0.06133166057575079,0.0,-0.006954970721348874,0.0,1.2262379012876028
11,80,6,4,4,0.8,False,1.0,1,0.0,1.8917691707611084,1.8917691707611084,1.353250974306509,0.0,2.1894641778026793,0.0,0.9383330155445064,0.0,1.2885451340757372,0.0,1.9691656554052799,0.0,0.9455938264226091,0.0,-0.06470584023077186,0.0,-0.007260810878102708,0.0,1.2885451340757372
1,80,6,4,1,0.6,False,1.0,1,0.0,1.6663095951080322,1.6663095951080322,1.5257816271150046,0.0,2.333725161020573,0.0,0.9299389824133648,0.0,1.4708159500330793,0.0,2.132102324090514,0.0,0.9362177603817442,0.0,-0.054965677081925346,0.0,-0.00627877796837939,0.0,1.4708159500330793
5,80,6,4,2,0.6,False,1.0,1,0.0,1.534613847732544,1.534613847732544,1.5240331783722374,0.0,2.3416594063314613,0.0,0.9294617829061352,0.0,1.4853248268522996,0.0,2.1888896375126614,0.0,0.9327749075482161,0.0,-0.03870835151993779,0.0,-0.003313124642080889,0.0,1.4853248268522996
9,80,6,4,4,0.6,False,1.0,1,0.0,1.392749547958374,1.392749547958374,1.6086731748089989,0.0,2.4416955037569545,0.0,0.9233062398996513,0.0,1.5545905481163964,0.0,2.268340962774353,0.0,0.9278061257332365,0.0,-0.05408262669260244,0.0,-0.004499885833585182,0.0,1.5545905481163964
