country_name,country_code,year,population,pop_growth,life_expectancy,gdp_growth,sanitation,electricity,water_access,co2_emissions,labor_force,is_covid,log1p_gdp_per_capita,electricity_water_interaction,basic_services_gap
Chad,TCD,2015.0,-0.14535236920172256,1.1823784720376398,51.32,-0.0016583858521206291,-1.5706067022293728,-2.6443651794649976,-2.2818811830777572,-0.5075355951564501,0.0507860601824709,0,-1.1147676754695879,-2.2961475582054596,2.369389845354864
Bahrain,BHR,2018.0,-0.24668601421858244,-0.710246476727142,80.412,-0.2126626905929626,1.402502941496269,0.6260025836801568,0.7367451588756541,1.886653422357101,1.1108994601301934,0,0.9665326100188459,0.7568508629678751,-1.0391994638127997
Israel,ISR,2008.0,-0.2019287155645272,0.30996156666013797,80.9512195121951,-0.01549364772560746,1.1969572328732887,0.6260025836801568,0.7411579719254099,0.4723198242653204,0.17625574998960708,0,1.0552538943861702,0.759268766153539,-0.9551669814635426
Bulgaria,BGR,2007.0,-0.20010519979599095,-1.2477712003409454,72.6634146341463,0.5631617267132697,0.19890853912272405,0.33191750855442803,0.7146693863061317,0.29748381267167306,-0.754369715481416,0,0.015110163449740456,0.4826730631503592,-0.40959991994094025
Senegal,SEN,2014.0,-0.1491724180315483,1.1725885530212075,66.001,0.4906145142271629,-1.1377586601593157,-0.7558429500431478,-0.6211275218844234,-0.4559787896232823,-1.5140188702624902,0,-0.8978304024904987,-0.9331854948398957,0.9546108552267405
Kazakhstan,KAZ,2022.0,-0.10382306920377024,0.11559991914474856,73.503,-0.019218846377430585,0.5462356938006141,0.6260025836801568,0.5982394665396763,0.7963971475952921,1.0820685546260724,0,0.4266918030135821,0.680959736161522,-0.648300190758303
Kuwait,KWT,2020.0,-0.2243511415121893,-1.3815884693597549,78.7609756097561,-1.3708704703521526,1.7106635299560229,0.6260025836801568,0.7411580258065783,1.7392702527428234,0.769348663217254,1,0.9397056550511248,0.7592687956765319,-1.1680541344613442
Solomon Islands,SLB,2007.0,-0.2544178280806973,0.2790213846310123,67.845,0.05491675291392966,-1.002000098561006,-2.46011910830189,-0.656914318406072,-0.4501119606759159,2.3671031999526404,0,-0.9018110976291704,-2.102473117268833,1.6324520978646393
Denmark,DNK,2024.0,-0.21219587301348994,-0.47931541974357156,82.0938,0.02762194066264084,1.6707068484282352,0.5941138405942342,0.7411580135107628,-0.06186980309422861,0.2668671672882754,0,1.5971912542551787,0.7307196483004119,-1.1379340158990718
Jordan,JOR,2006.0,-0.2087238169027695,3.170176367292628,73.225,0.8056953812732445,0.6878426326269521,0.6260025836801568,0.6608048553732748,-0.177551660004878,-2.3462977974459336,0,-0.5704016405669475,0.7152410554169192,-0.7232685247389172
Suriname,SUR,2005.0,-0.25427014317773095,-0.14476123017969844,66.997,0.1999501886404775,-0.8301894597719979,0.44529970619326337,0.2407753526894673,-0.1715970995248196,-1.1135003328236983,0,-0.3238942067723075,0.33729958113991293,0.09199852473695064
Ghana,GHA,2008.0,-0.07132624632882263,0.7820207784811399,60.578,0.9838669075554751,-1.624390011844023,-0.7735589184242159,-0.7979188912077372,-0.4811668342864755,1.0825708352097676,0,-1.0044418035479077,-1.00391965154329,1.2098269000681687
Jordan,JOR,2000.0,-0.21674465590958916,0.49354212191363395,71.926,0.15707933471749747,0.626471715436409,0.5905706469180209,0.6471062918589275,-0.19248957281016715,-2.175522398989464,0,-0.8243104290112613,0.6765292991076682,-0.6792017739069964
Trinidad and Tobago,TTO,2017.0,-0.24781508638638755,-0.6664980500126721,72.984,-1.3802160953379543,-0.5657192925882416,0.6260025836801568,0.6453029731135076,2.045754421383063,0.050886516299210476,0,0.7095076164708496,0.7067471423331201,-0.19973996724269175
Sudan,SDN,2009.0,0.008226145856192366,0.9273403568778371,62.676,-1.0253233038018763,-1.3602313323898256,-1.8896649264315004,-2.1239935603368387,-0.47004657199001315,-1.241883250016268,0,-1.0068274804639759,-1.9482111374641007,1.920157020184472
Tanzania,TZA,2025.0,0.2831910083622581,0.9276301796656234,68.1683999999999,0.12210826051987471,-0.858908902231219,-1.019112977136403,-1.2176795799496491,-0.4838423771682949,2.2234978325368746,0,-0.9562769717220337,-1.2885237251144699,1.1062835086322724
